block_size,total_new_bytes,matched_bytes,literal_bytes,residual_percent
64,1600399360,1573971392,26427968,1.65%
80,1600399360,1570059760,30339600,1.90%
96,1600399360,1565231808,35167552,2.20%
112,1600399360,1559859392,40539968,2.53%
128,1600399360,1557759488,42639872,2.66%
144,1600399360,1555005024,45394336,2.84%
160,1600399360,1554394400,46004960,2.87%
176,1600399360,1551057728,49341632,3.08%
192,1600399360,1549129920,51269440,3.20%
208,1600399360,1545963536,54435824,3.40%
224,1600399360,1545360544,55038816,3.44%
240,1600399360,1542002880,58396480,3.65%
256,1600399360,1551575296,48824064,3.05%
272,1600399360,1538164624,62234736,3.89%
288,1600399360,1537624512,62774848,3.92%
300,1600399360,1535308500,65090860,4.07%
304,1600399360,1534543968,65855392,4.11%
320,1600399360,1533978560,66420800,4.15%
336,1600399360,1531131504,69267856,4.33%
352,1600399360,1530756480,69642880,4.35%
368,1600399360,1525356320,75043040,4.69%
384,1600399360,1523332224,77067136,4.82%
400,1600399360,1521172800,79226560,4.95%
416,1600399360,1520225408,80173952,5.01%
432,1600399360,1516626720,83772640,5.23%
448,1600399360,1515881472,84517888,5.28%
464,1600399360,1512785696,87613664,5.47%
480,1600399360,1512055200,88344160,5.52%
496,1600399360,1508870688,91528672,5.72%
512,1600399360,1517146112,83253248,5.20%
544,1600399360,1504501088,95898272,5.99%
576,1600399360,1500487488,99911872,6.24%
608,1600399360,1497003616,103395744,6.46%
640,1600399360,1493032320,107367040,6.71%
672,1600399360,1489922784,110476576,6.90%
704,1600399360,1486022208,114377152,7.15%
736,1600399360,1482683040,117716320,7.36%
768,1600399360,1489387776,111011584,6.94%
800,1600399360,1475554400,124844960,7.80%
832,1600399360,1471888704,128510656,8.03%
864,1600399360,1468387872,132011488,8.25%
896,1600399360,1464746752,135652608,8.48%
928,1600399360,1461816224,138583136,8.66%
960,1600399360,1458374400,142024960,8.87%
992,1600399360,1455782816,144616544,9.04%
1024,1600399360,1460632576,139766784,8.73%
1152,1600399360,1439930880,160468480,10.03%
1280,1600399360,1437240320,163159040,10.19%
1408,1600399360,1415690496,184708864,11.54%
1536,1600399360,1412387328,188012032,11.75%
1664,1600399360,1394518528,205880832,12.86%
1792,1600399360,1391928832,208470528,13.03%
1920,1600399360,1373264640,227134720,14.19%
2048,1600399360,1370466304,229933056,14.37%
2304,1600399360,1351876608,248522752,15.53%
2560,1600399360,1332823040,267576320,16.72%
2816,1600399360,1316139264,284260096,17.76%
3072,1600399360,1299019776,301379584,18.83%
3328,1600399360,1284308480,316090880,19.75%
3584,1600399360,1268244992,332154368,20.75%
3840,1600399360,1254462720,345936640,21.62%
4096,1600399360,1239932928,360466432,22.52%
4608,1600399360,1213544448,386854912,24.17%
5120,1600399360,1189181440,411217920,25.69%
5632,1600399360,1165581824,434817536,27.17%
6144,1600399360,1144418304,455981056,28.49%
6656,1600399360,1124517888,475881472,29.74%
7168,1600399360,1104617472,495781888,30.98%
7680,1600399360,1086190080,514209280,32.13%
8192,1600399360,1069391872,531007488,33.18%
12288,1600399360,956841984,643557376,40.21%
16384,1600399360,877641728,722757632,45.16%
24576,1600399360,768393216,832006144,51.99%
32768,1600399360,698548224,901851136,56.35%
49152,1600399360,612630528,987768832,61.72%
65536,1600399360,566362112,1034037248,64.61%
98304,1600399360,515407872,1084991488,67.80%
131072,1600399360,492175360,1108224000,69.25%
196608,1600399360,458686464,1141712896,71.34%
262144,1600399360,438304768,1162094592,72.61%
393216,1600399360,409731072,1190668288,74.40%
524288,1600399360,384827392,1215571968,75.95%
786432,1600399360,348389376,1252009984,78.23%
1048576,1600399360,320864256,1279535104,79.95%
